序号,角色,作品,CV,预选 轮次1-1,预选 轮次1-2,预选 轮次2-1,预选 轮次2-2,预选 轮次3-1,预选 轮次3-2,第一阶段 轮次 1,第一阶段 轮次 2,第一阶段 轮次 3,第一阶段 轮次 4,第一阶段 轮次 5,第一阶段 轮次 6,第二阶段 轮次 1,第二阶段 轮次 2,第二阶段 轮次 3,第二阶段 轮次 4,第二阶段 轮次 5,第二阶段 轮次 6,第三阶段 轮次 1,第三阶段 轮次 2,第三阶段 轮次 3,第三阶段 轮次 4,第三阶段 轮次 5,第三阶段 轮次 6,第四阶段 轮次 1,第四阶段 轮次 2,第四阶段 轮次 3,第四阶段 轮次 4,第四阶段 轮次 5,第四阶段 轮次 6,第五阶段 轮次 1,第五阶段 轮次 2,第五阶段 轮次 3,第五阶段 轮次 4,第五阶段 轮次 5,第五阶段 轮次 6,淘汰赛阶段 轮次 1,淘汰赛阶段 轮次 2,淘汰赛阶段 轮次 3,淘汰赛阶段 轮次 4,淘汰赛阶段 轮次 5,淘汰赛阶段 轮次 6,淘汰赛阶段 轮次 7,淘汰赛阶段 轮次 8,淘汰赛阶段 轮次 9
85,和泉纱雾,埃罗芒阿老师,藤田茜,,680,665,,,,746,573,540,896,1098,,859,722,609,713,1435,,408,1191,801,467,731,,,,,,,,,,,,,,,8060.4,,,,,,,
86,梓川枫,青春猪头少年系列,久保由利香,,648,,720,,,1067,514,356,877,878,,622,869,689,742,1243,517,248,1152,743,321,693,,,,,,,,,,,,,,,10581,,,,,,,
87,千反田爱瑠,冰菓,佐藤聪美,,643,574,,,,940,530,681,951,964,,988,806,860,570,1305,,533,1584,989,1011,1194,960,595,651,546,1153,1927,725,,,,,,,,,,,,,,,
88,茵蒂克丝,魔法禁书目录,井口裕香,,632,574,,,,263,529,482,1067,969,,534,794,605,551,1367,,,,,,,,,,,,,,,,,,,,4342.8,,,,,,,,
89,泉此方,幸运☆星,平野绫,,618,,650,,,989,614,573,1124,1058,,937,743,828,546,1194,,527,1225,702,612,1001,702,489,554,612,764,1228,,,,,,,,,,6802.5,,,,,,
90,温水佳树,败犬女主太多了！,田中美海,,615,,658,,,706,472,444,1006,876,,686,646,690,647,1194,,,,,,,,,,,,,,,,,,,,5716.8,,,,,,,,
91,中野三玖,五等分的新娘,伊藤美来,,612,517,,,565,566,667,416,858,720,342,601,785,639,654,1319,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,结城明日奈,刀剑神域,户松遥,,609,628,,,,696,347,493,961,891,,924,751,651,940,1527,,438,1614,1230,481,809,,588,942,518,672,1772,481,,,,,,,,,,,,,,,
93,星野爱,【我推的孩子】,高桥李依,,607,,558,,618,589,784,290,810,812,344,577,765,643,561,1332,462,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,天野阳菜,天气之子,森七菜,,597,611,,1288,,764,679,297,808,820,,730,747,760,695,1303,441,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,艾莉丝·伯雷亚斯·格雷拉特,无职转生,加隈亚衣,,563,,571,676,,464,578,521,792,798,3197.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,五河琴里,约会大作战,竹达彩奈,,538,,527,,636,684,623,454,797,1080,343,710,877,780,579,1413,,352,1203,815,445,706,,,,,,,,,,,,,,,7716.2,,,,,,,
97,艾莉莎·米哈伊罗夫纳·九条,不时轻声地以俄语遮羞的邻座艾莉同学,上坂堇,,534,346,,,621,546,659,408,791,675,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,东海帝王,赛马娘 Pretty Derby,Machico,,527,,530,,639,557,622,465,879,607,,503,818,697,604,1260,475,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,碧翠丝,Re:从零开始的异世界生活,新井里美,,514,394,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,尤贝尔,葬送的芙莉莲,长谷川育美,,510,267,,651,,295,426,313,704,565,2425.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,希露菲叶特·格雷拉特,无职转生,茅野爱衣,,506,,533,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,鹿目圆,魔法少女小圆,悠木碧,,498,473,,638,,405,570,441,707,812,3429.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,由崎司,总之就是非常可爱,鬼头明里,,491,,480,648,,613,601,276,679,722,3320.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,绫波丽,新世纪福音战士,林原惠,,486,,493,,556,560,575,378,831,688,3461.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,高木,擅长捉弄的高木同学,高桥李依,,482,538,,714,,686,701,346,861,537,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
